Group,Family,Scientific_name,Name_Status,Accepted_Name,Taxonomic_Note,Origin,FloraStatus,FloraPage,ConceptNum,Acronym
Dicotyledons,Cornaceae,Cornus unalaschkensis,Accepted,Cornus unalaschkensis,,native,Fully described,"vol2, pg595",1191,CORUNA
Dicotyledons,Crassulaceae,Crassula aquatica,Accepted,Crassula aquatica,,native,Fully described,"vol2, pg597",1261,CRAAQU
Dicotyledons,Crassulaceae,Crassula connata,Accepted,Crassula connata,,native,Fully described,"vol2, pg597",1269,CRACON
Dicotyledons,Crassulaceae,Crassula solieri,Accepted,Crassula solieri,,native,Fully described,"vol2, pg597",1311,CRASOL
Dicotyledons,Crassulaceae,Crassula tillaea,Accepted,Crassula tillaea,,naturalized,Fully described,"vol2, pg598",1315,CRATIL
Dicotyledons,Crassulaceae,Dudleya farinosa,Accepted,Dudleya farinosa,,native,Fully described,"vol2, pg599",1503,DUDFAR
Dicotyledons,Crassulaceae,Gormania debilis,Synonym,Sedum debile,,,,,3749,GORDEB
Dicotyledons,Crassulaceae,Gormania glandulifera,Synonym,Sedum moranii,,,,,3773,GORGLA
Dicotyledons,Crassulaceae,Gormania laxa,Synonym,Sedum laxum ssp. laxum,,,,,4607,GORLAX
Dicotyledons,Crassulaceae,Gormania oregana,Synonym,Sedum oreganum,,,,,3776,GORORE
Dicotyledons,Crassulaceae,Gormania watsonii,Synonym,Sedum oregonense,,,,,3777,GORWAT
Dicotyledons,Crassulaceae,Parvisedum pumilum,Synonym,Sedella pumila,,,,,2914,PARPUM
Dicotyledons,Crassulaceae,Phedimus spurius,Accepted,Phedimus spurius,,not naturalized,,,14385,PHESPU
Dicotyledons,Crassulaceae,Rhodiola integrifolia,Accepted,Rhodiola integrifolia,Bare species,native,,,9923,RHOINT
Dicotyledons,Crassulaceae,Rhodiola integrifolia ssp. integrifolia,Accepted,Rhodiola integrifolia ssp. integrifolia,,native,Fully described,"vol2, pg599",3784,RHOINTINT
Dicotyledons,Crassulaceae,Sedella pumila,Accepted,Sedella pumila,,native,Fully described,"vol2, pg599",2914,SEDPUM
Dicotyledons,Crassulaceae,Sedum acre,Accepted,Sedum acre,,not naturalized,,,12678,SEDACR
Dicotyledons,Crassulaceae,Sedum album,Accepted,Sedum album,,naturalized,Fully described,"vol2, pg601",4584,SEDALB
Dicotyledons,Crassulaceae,Sedum borschii,Synonym,Sedum leibergii,,,,,3771,SEDBOR
Dicotyledons,Crassulaceae,Sedum ciliosum,Synonym,Sedum stenopetalum ssp. ciliosum,,,,,4610,SEDCIL
Dicotyledons,Crassulaceae,Sedum debile,Accepted,Sedum debile,,native,Fully described,"vol2, pg601",3749,SEDDEB
Dicotyledons,Crassulaceae,Sedum divergens,Accepted,Sedum divergens,,native,Fully described,"vol2, pg602",3752,SEDDIV
Dicotyledons,Crassulaceae,Sedum douglasii,Synonym,Sedum stenopetalum,,,,,9235,SEDDOU7SEDSTE1
Dicotyledons,Crassulaceae,Sedum douglasii,Misapplied,Sedum radiatum ssp. depauperatum,,,,,3782,SEDDOU7SEDRADDEP
Dicotyledons,Crassulaceae,Sedum douglasii ssp. ciliosum,Synonym,Sedum stenopetalum ssp. ciliosum,,,,,4610,SEDDOUCIL
Dicotyledons,Crassulaceae,Sedum douglasii ssp. radiatum,Misapplied,Sedum radiatum ssp. depauperatum,,,,,3782,SEDDOURAD
